company_id,company_name,revenue_2023 (USD M),ebitda (USD M),total_debt (USD M),total_assets (USD M),cash_equivalents (USD M),moodys_rating,sp_rating,fitch_rating,industry,country
2001,Company_1_Inc,60976.95,12584.3,28735.7,62488.91,3487.4,B1,B+,B,Telecom,Japan
2002,Company_2_Inc,158200.85,31135.46,129972.1,261164.64,13078.57,B1,B+,B,Automotive,Brazil
2003,Company_3_Inc,21088.24,4472.16,5333.67,19766.69,2913.13,B1,B+,B,Banking,Brazil
2004,Company_4_Inc,166329.65,33150.66,85589.12,211805.9,28804.34,B1,B+,B,Retail,Germany
2005,Company_5_Inc,160148.36,34158.54,52106.77,193512.58,9984.6,B1,B+,B,Banking,Japan
2006,Company_6_Inc,366567.45,76048.96,96966.07,380750.58,33927.18,Ba2,BB,BB-,Energy,India
2007,Company_7_Inc,192173.74,33079.18,59539.98,177770.44,23861.86,B1,B+,B,Retail,Brazil
2008,Company_8_Inc,71826.3,16072.75,47576.18,97421.98,9945.17,Ba2,BB,BB-,Energy,Brazil
2009,Company_9_Inc,965452.66,213770.24,456561.55,1614434.03,178723.38,B1,B+,B,Pharmaceuticals,UK
2010,Company_10_Inc,143332.99,27877.4,35592.01,174279.34,13828.86,B1,B+,B,Pharmaceuticals,USA
2011,Company_11_Inc,75840.01,14698.99,36098.54,120622.23,13549.47,B1,B+,B,Automotive,Germany
2012,Company_12_Inc,381371.16,69423.22,183730.37,537750.87,74597.49,B1,B+,B,Telecom,Brazil
2013,Company_13_Inc,198168.26,45729.45,107251.63,300576.42,29871.15,B1,B+,B,Retail,Germany
2014,Company_14_Inc,47703.25,10535.26,17130.62,62341.31,8774.95,B1,B+,B,Banking,Japan
2015,Company_15_Inc,77727.19,14765.43,49830.93,127764.7,16713.16,Ba2,BB,BB-,Automotive,France
2016,Company_16_Inc,444739.94,90509.5,167558.71,719088.02,58821.65,B1,B+,B,Energy,Japan
2017,Company_17_Inc,188085.42,38599.1,55392.99,170322.95,17215.35,B1,B+,B,Retail,USA
2018,Company_18_Inc,213225.24,41936.88,101507.98,247034.73,25167.67,B1,B+,B,Automotive,UK
2019,Company_19_Inc,31975.92,6378.23,13808.09,36064.75,1936.27,B1,B+,B,Technology,UK
2020,Company_20_Inc,217500.96,42373.41,82350.9,237434.82,15312.05,Ba2,BB,BB-,Retail,India
2021,Company_21_Inc,125028.34,23282.29,46643.06,136746.99,17820.04,Ba2,BB,BB-,Telecom,Japan
2022,Company_22_Inc,223617.94,47154.27,93282.97,228218.67,23008.98,Ba2,BB,BB-,Retail,Germany
2023,Company_23_Inc,263618.41,47707.17,93366.53,407976.07,34623.54,Ba2,BB,BB-,Energy,Germany
2024,Company_24_Inc,218237.37,47691.22,117709.61,324774.93,23028.87,B1,B+,B,Telecom,UK
2025,Company_25_Inc,37772.31,7644.34,23555.88,64099.72,9393.3,Ba2,BB,BB-,Telecom,Japan
2026,Company_26_Inc,321130.78,57387.16,162774.29,506528.87,68701.74,Ba2,BB,BB-,Telecom,USA
2027,Company_27_Inc,293887.85,69290.49,173231.98,352026.57,50696.52,B1,B+,B,Energy,Germany
2028,Company_28_Inc,14826.77,2727.18,5164.28,25139.77,1699.26,B1,B+,B,Retail,UK
2029,Company_29_Inc,68860.61,15293.84,35908.94,91862.27,9267.19,B1,B+,B,Energy,India
2030,Company_30_Inc,147060.67,30627.9,72887.14,238955.8,22327.9,B1,B+,B,Retail,Brazil
2031,Company_31_Inc,244822.6,44767.49,108382.11,275331.88,14436.09,B1,B+,B,Telecom,USA
2032,Company_32_Inc,134383.02,28866.39,102517.19,224866.31,32911.88,B1,B+,B,Energy,Brazil
2033,Company_33_Inc,135780.12,22406.25,73739.19,162684.88,14555.28,Ba2,BB,BB-,Pharmaceuticals,India
2034,Company_34_Inc,155487.75,27543.19,101898.0,249075.59,30904.52,Ba2,BB,BB-,Retail,UK
2035,Company_35_Inc,87046.75,14464.0,21591.14,96183.66,10690.95,B1,B+,B,Telecom,France
2036,Company_36_Inc,95129.97,18782.97,57204.3,153092.07,8077.39,B1,B+,B,Energy,France
2037,Company_37_Inc,71469.44,13643.47,55185.21,120459.79,16128.77,B1,B+,B,Telecom,Brazil
2038,Company_38_Inc,197065.4,32002.19,64414.52,228856.19,30389.1,Ba2,BB,BB-,Banking,Brazil
2039,Company_39_Inc,108513.93,22653.42,32210.28,133372.64,15998.21,B1,B+,B,Telecom,Japan
2040,Company_40_Inc,52126.24,8350.0,19898.33,77940.94,5852.28,B1,B+,B,Banking,Japan
2041,Company_41_Inc,110524.81,22452.46,49056.04,180395.39,16999.6,B1,B+,B,Telecom,USA
